QueryId,DocumentId
116,5437
116,4951
116,10502
116,7598
116,4628
144,14686
144,20356
144,19813
144,22726
144,17805
183,15341
183,10961
183,11544
183,10289
183,8531
219,3861
219,11914
219,4200
219,14947
219,4264
226,11793
226,9942
226,12
226,6324
226,34
234,8709
234,6792
234,16183
234,15102
234,11756
235,7426
235,2374
235,4827
235,4848
235,15851
240,3736
240,4604
240,14214
240,21418
240,11700
243,1396
243,7643
243,5890
243,9911
243,17169
27,169
27,18412
27,10509
27,8889
27,1464
31,1748
31,1724
31,1395
31,5960
31,5565
273,15210
273,18630
273,6105
273,1588
273,13989
35,9294
35,19990
35,7855
35,2479
35,12182
283,14554
283,20543
283,552
283,12200
283,11068
311,10456
311,6733
311,16984
311,1164
311,7474
315,11074
315,22611
315,10345
315,1158
315,11330
336,3655
336,1958
336,340
336,1184
336,8119
359,2184
359,2141
359,4996
359,16797
359,22212
367,5514
367,11774
367,5566
367,20279
367,8774
45,1950
45,854
45,420
45,782
45,424
396,6845
396,22699
396,12123
396,20795
396,19668
4,9232
4,22486
4,14140
4,22032
4,6230
410,8289
410,13266
410,19950
410,9592
410,9007
432,8079
432,5988
432,7478
432,21502
432,13113
451,12438
451,1674
451,17902
451,2875
451,21742
453,8800
453,22304
453,11081
453,22753
453,20107
470,11805
470,17035
470,20431
470,14476
470,4816
501,22311
501,12260
501,12251
501,7093
501,7902
510,12337
510,6724
510,21040
510,566
510,9345
512,12930
512,9545
512,12282
512,11678
512,3670
531,16565
531,16473
531,17182
531,19146
531,20353
533,11447
533,13796
533,10018
533,12021
533,22869
554,13213
554,22972
554,5172
554,19546
554,13356
576,18092
576,14551
576,18099
576,7684
576,9692
582,20876
582,8354
582,15193
582,9115
582,11311
593,7744
593,21144
593,7437
593,16043
593,13464
594,6507
594,22695
594,21886
594,10777
594,12782
70,16915
70,18541
70,7408
70,16069
70,21494
617,15868
617,15970
617,22992
617,18754
617,20024
623,21298
623,22545
623,10387
623,11430
623,17124
643,22372
643,8942
643,3336
643,8210
643,14512
651,11110
651,10943
651,7337
651,21718
651,20766
81,4364
81,3854
81,1750
81,15654
81,16067
674,22521
674,17227
674,15112
674,15209
674,21868
675,3925
675,14638
675,16876
675,16650
675,8885
679,10830
679,5636
679,20398
679,13250
679,19551
11,745
11,1845
11,1582
11,16353
11,5599
695,12826
695,21918
695,20990
695,3958
695,9918
697,19483
697,18271
697,19776
697,15701
697,15735
12,1742
12,19
12,12
12,184
12,7333
13,4438
13,11273
13,10550
13,22577
13,2305
